
2015-07-10 04:00:39  | INFO | +++++++++
2015-07-10 04:00:39  | INFO | +Log Test
2015-07-10 04:00:39  | INFO | +++++++++
2015-07-10 04:00:47  | INFO | * * * * *
2015-07-10 04:00:47  | INFO | * Purged Everything!
2015-07-10 04:00:47  | INFO | * * * * *
2015-07-10 04:00:47  | INFO | +++++++++
2015-07-10 04:00:47  | INFO | +Log Test
2015-07-10 04:00:47  | INFO | +++++++++
2015-07-10 04:00:47  | INFO | +++++++++
2015-07-10 04:00:47  | INFO | +Log Test
2015-07-10 04:00:47  | INFO | +++++++++
2015-07-10 04:01:05  | INFO | +++++++++
2015-07-10 04:01:05  | INFO | +Log Test
2015-07-10 04:01:05  | INFO | +++++++++
2015-07-10 04:01:13  | INFO | +++++++++
2015-07-10 04:01:13  | INFO | +Log Test
2015-07-10 04:01:13  | INFO | +++++++++
2015-07-10 04:30:04  | INFO | +++++++++
2015-07-10 04:30:04  | INFO | +Log Test
2015-07-10 04:30:04  | INFO | +++++++++
